,family,genus,species
140,Hepadnaviridae,Orthohepadnavirus,Ground squirrel hepatitis virus
141,Hepadnaviridae,Orthohepadnavirus,Hepatitis B virus
160,Hepadnaviridae,Orthohepadnavirus,Woodchuck hepatitis virus
166,Hepadnaviridae,Avihepadnavirus,Duck hepatitis B virus
401,Parvoviridae,Amdoparvovirus,Carnivore amdoparvovirus 1
402,Parvoviridae,Bocaparvovirus,Ungulate bocaparvovirus 1
403,Parvoviridae,Protoparvovirus,Feline parvovirus
404,Parvoviridae,Protoparvovirus,Carnivore protoparvovirus 1
412,Parvoviridae,Protoparvovirus,Rodent protoparvovirus 1
414,Parvoviridae,Protoparvovirus,Ungulate protoparvovirus 1
416,Parvoviridae,Erythroparvovirus,Primate erythroparvovirus 1
422,Parvoviridae,Dependoparvovirus,Adeno-associated dependoparvovirus A
425,Parvoviridae,Brevidensovirus,Dipteran brevidensovirus 1
426,Parvoviridae,Iteradensovirus,Lepidopteran iteradensovirus 1
431,Geminiviridae,Begomovirus,Abutilon mosaic virus
433,Geminiviridae,Begomovirus,African cassava mosaic virus
435,Geminiviridae,Mastrevirus,Chloris striate mosaic virus
436,Geminiviridae,Mastrevirus,Maize streak virus
440,Geminiviridae,Mastrevirus,Miscanthus streak virus
441,Geminiviridae,Mastrevirus,Panicum streak virus
442,Geminiviridae,Begomovirus,Potato yellow mosaic virus
443,Geminiviridae,Begomovirus,Squash leaf curl virus
444,Geminiviridae,Mastrevirus,Tobacco yellow dwarf virus
445,Geminiviridae,Begomovirus,Tomato golden mosaic virus
446,Geminiviridae,Begomovirus,Tomato yellow leaf curl virus
447,Geminiviridae,Mastrevirus,Wheat dwarf virus
448,Geminiviridae,Begomovirus,Tomato mottle virus
449,Geminiviridae,Mastrevirus,Sugarcane streak virus
450,Geminiviridae,Mastrevirus,Digitaria streak virus
451,Geminiviridae,Begomovirus,Bean dwarf mosaic virus
452,Geminiviridae,Begomovirus,Bean golden mosaic virus
453,Geminiviridae,Curtovirus,Beet curly top virus
456,Microviridae,Microvirus,Enterobacteria phage G4
457,Microviridae,Phix174microvirus,Enterobacteria phage phiX174 sensu lato
458,Microviridae,Microvirus,Enterobacteria phage St-1
459,Microviridae,Phix174microvirus,Escherichia phage phiX174
460,Microviridae,Microvirus,Enterobacteria phage phiK
461,Microviridae,Alpha3microvirus,Escherichia virus alpha3
462,Microviridae,Microvirus,Enterobacteria phage G14
463,Microviridae,Microvirus,Enterobacteria phage U3
465,Inoviridae,Plectrovirus,Spiroplasma phage 1-R8A2B
466,Microviridae,Spiromicrovirus,Spiroplasma phage 4
468,Microviridae,Chlamydiamicrovirus,Chlamydia phage 1
